id,name,application_name,img,price_mode,website_url,power_supply,wide-voltage_power_supply_surcharge,cabinet,package,remark
1,EA1000H9,Rental LED Display,/images/products/EA1000H9.jpg,pcs,https://www.eagerled.com/products/ea1000h9-rental-led-wall/,"4.5V40A(室内), 4.5V50A(户外)",10USD/箱体,压铸铝,航空箱,"默认带护角，不要护角也不减费用。弧形箱体，每箱体加15USD。备品控制后盖（含接收卡、转接板、电源和后盖），70/80(宽压电源)USD一个。MOQ:100张模组。"
2,EA500H9,Rental LED Display,/images/products/EA500H9.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角，不要护角也不减费用。弧形箱体，每箱体加15USD。备品控制后盖（含接收卡、转接板、电源和后盖），55/60(宽压电源)USD一个。MOQ:100张模组。"
3,EA1000C6,Rental LED Display,/images/products/EA1000C6.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V60A(户外)",14USD/箱体,压铸铝,航空箱,"默认带护角，不要护角也不减费用。弧形箱体，每箱体加15USD。室内全前维护，每箱体加15USD。不生锈高颜值高精度高强度租赁箱。"
4,EA500C6,Rental LED Display,/images/products/EA500C6.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V60A(户外)",7USD/箱体,压铸铝,航空箱,"默认带护角，不要护角也不减费用。弧形箱体，每箱体加15USD。室内全前维护，每箱体加10USD。不生锈高颜值高精度高强度租赁箱。"
5,EA500H7,Rental LED Display,/images/products/EA500H7.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角，不要护角也不减费用。单个箱体内外弧度都是45度。备品控制后盖（含接收卡、转接板、电源和后盖），55/60(宽压电源)USD一个。MOQ:12个箱体。EA500H7与EA500H8,EA500H8V,EA250H8,EA1000H8可互拼。"
6,EA500H8,Rental LED Display,/images/products/EA500H8.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角，不要护角也不减费用。弧形箱体，每箱体加15USD。备品控制后盖55/60USD。MOQ:100张模组。"
7,EA500H8V,Rental LED Display,/images/products/EA500H8V.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带弧形锁，可拼直屏和弧形屏。备品控制后盖55/60USD。MOQ:100张模组。"
8,EA250H8,Rental LED Display,/images/products/EA250H8.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带弧形锁。备品控制后盖55/60USD。MOQ:60张模组。"
9,EA1000H8,Rental LED Display,/images/products/EA1000H8.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",10USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品控制后盖70/80USD。MOQ:100张模组。"
10,EA576H1,Rental LED Display,/images/products/EA576H1.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,4.5V60A,8USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品控制后盖55/62USD。MOQ:100张模组。"
